;Geslacht;Onderwijssoort;Studierichting;Perioden;Enrollment;Freshmen
64879;Mannen;Hoger beroepsonderwijs;0532 Aardwetenschappen;2017;133;34
64880;Mannen;Hoger beroepsonderwijs;0532 Aardwetenschappen;2018;122;25
64881;Mannen;Hoger beroepsonderwijs;0532 Aardwetenschappen;2019;153;32
64882;Mannen;Hoger beroepsonderwijs;0532 Aardwetenschappen;2020;176;48
64883;Mannen;Hoger beroepsonderwijs;0532 Aardwetenschappen;2021;193;47
64884;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2010;560;161
64885;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2011;561;159
64886;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2012;570;162
64887;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2013;654;205
64888;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2014;691;181
64889;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2015;738;198
64890;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2016;752;201
64891;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2017;738;174
64892;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2018;735;198
64893;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2019;732;194
64894;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2020;747;179
64895;Mannen;Hoger beroepsonderwijs;0533 Natuurkunde;2021;734;190
64896;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2010;369;88
64897;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2011;392;88
64898;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2012;426;103
64899;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2013;486;121
64900;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2014;489;97
64901;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2015;542;126
64902;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2016;603;144
64903;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2017;595;116
64904;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2018;661;137
64905;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2019;676;131
64906;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2020;689;133
64907;Mannen;Hoger beroepsonderwijs;054 Wiskunde en statistiek;2021;654;111
64908;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2010;0;0
64909;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2011;0;0
64910;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2012;0;0
64911;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2013;0;0
64912;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2014;0;0
64913;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2015;0;0
64914;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2016;0;0
64915;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2017;0;0
64916;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2018;0;0
64917;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2019;0;0
64918;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2020;0;0
64919;Mannen;Hoger beroepsonderwijs;0540 Wiskunde en statistiek z.n.d.;2021;0;0
64920;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2010;369;88
64921;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2011;392;88
64922;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2012;426;103
64923;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2013;486;121
64924;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2014;489;97
64925;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2015;542;126
64926;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2016;603;144
64927;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2017;595;116
64928;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2018;661;137
64929;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2019;676;131
64930;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2020;689;133
64931;Mannen;Hoger beroepsonderwijs;0541 Wiskunde;2021;654;111
64932;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2010;0;0
64933;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2011;0;0
64934;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2012;0;0
64935;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2013;0;0
64936;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2014;0;0
64937;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2015;0;0
64938;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2016;0;0
64939;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2017;0;0
64940;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2018;0;0
64941;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2019;0;0
64942;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2020;0;0
64943;Mannen;Hoger beroepsonderwijs;0542 Statistiek;2021;0;0
64944;Mannen;Hoger beroepsonderwijs;06 Informatica;2010;13160;3085
64945;Mannen;Hoger beroepsonderwijs;06 Informatica;2011;13800;3355
64946;Mannen;Hoger beroepsonderwijs;06 Informatica;2012;13952;3379
64947;Mannen;Hoger beroepsonderwijs;06 Informatica;2013;15256;3856
64948;Mannen;Hoger beroepsonderwijs;06 Informatica;2014;16214;4121
64949;Mannen;Hoger beroepsonderwijs;06 Informatica;2015;17464;4291
64950;Mannen;Hoger beroepsonderwijs;06 Informatica;2016;19084;4876
64951;Mannen;Hoger beroepsonderwijs;06 Informatica;2017;21144;5621
64952;Mannen;Hoger beroepsonderwijs;06 Informatica;2018;22564;5588
64953;Mannen;Hoger beroepsonderwijs;06 Informatica;2019;23171;5417
64954;Mannen;Hoger beroepsonderwijs;06 Informatica;2020;24396;5623
64955;Mannen;Hoger beroepsonderwijs;06 Informatica;2021;24341;5011
64956;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2010;0;0
64957;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2011;0;0
64958;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2012;0;0
64959;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2013;0;0
64960;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2014;0;0
64961;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2015;0;0
64962;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2016;0;0
64963;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2017;0;0
64964;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2018;0;0
64965;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2019;0;0
64966;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2020;0;0
64967;Mannen;Hoger beroepsonderwijs;060 Informatica z.n.d.;2021;0;0
64968;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2010;0;0
64969;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2011;0;0
64970;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2012;0;0
64971;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2013;0;0
64972;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2014;0;0
64973;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2015;0;0
64974;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2016;0;0
64975;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2017;0;0
64976;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2018;0;0
64977;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2019;0;0
64978;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2020;0;0
64979;Mannen;Hoger beroepsonderwijs;0600 Informatica z.n.d.;2021;0;0
64980;Mannen;Hoger beroepsonderwijs;061 Informatica;2010;13160;3085
64981;Mannen;Hoger beroepsonderwijs;061 Informatica;2011;13800;3355
64982;Mannen;Hoger beroepsonderwijs;061 Informatica;2012;13952;3379
64983;Mannen;Hoger beroepsonderwijs;061 Informatica;2013;15256;3856
64984;Mannen;Hoger beroepsonderwijs;061 Informatica;2014;16214;4121
64985;Mannen;Hoger beroepsonderwijs;061 Informatica;2015;17464;4291
64986;Mannen;Hoger beroepsonderwijs;061 Informatica;2016;19084;4876
64987;Mannen;Hoger beroepsonderwijs;061 Informatica;2017;21144;5621
64988;Mannen;Hoger beroepsonderwijs;061 Informatica;2018;22564;5588
64989;Mannen;Hoger beroepsonderwijs;061 Informatica;2019;23171;5417
64990;Mannen;Hoger beroepsonderwijs;061 Informatica;2020;24396;5623
64991;Mannen;Hoger beroepsonderwijs;061 Informatica;2021;24341;5011
64992;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2010;0;0
64993;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2011;0;0
64994;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2012;0;0
64995;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2013;0;0
64996;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2014;0;0
64997;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2015;0;0
64998;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2016;0;0
64999;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2017;0;0
65000;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2018;0;0
65001;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2019;0;0
65002;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2020;0;0
65003;Mannen;Hoger beroepsonderwijs;0610 Informatica z.n.d.;2021;0;0
65004;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2010;0;0
65005;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2011;0;0
65006;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2012;0;0
65007;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2013;0;0
65008;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2014;0;0
65009;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2015;0;0
65010;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2016;0;0
65011;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2017;0;0
65012;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2018;0;0
65013;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2019;0;0
65014;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2020;0;0
65015;Mannen;Hoger beroepsonderwijs;0611 Computergebruik;2021;0;0
65016;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2010;585;132
65017;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2011;670;164
65018;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2012;715;165
65019;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2013;778;178
65020;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2014;387;100
65021;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2015;382;67
65022;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2016;375;70
65023;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2017;400;101
65024;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2018;376;85
65025;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2019;341;86
65026;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2020;345;76
65027;Mannen;Hoger beroepsonderwijs;0612 Ontwerp en beheer van database...;2021;354;60
65028;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2010;12575;2953
65029;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2011;13130;3191
65030;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2012;13237;3214
65031;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2013;14478;3678
65032;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2014;15827;4021
65033;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2015;17082;4224
65034;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2016;18709;4806
65035;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2017;20744;5520
65036;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2018;22174;5503
65037;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2019;22817;5330
65038;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2020;24023;5532
65039;Mannen;Hoger beroepsonderwijs;0613 Softwareontwikkeling en systeema…;2021;23958;4943
65040;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2010;0;0
65041;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2011;0;0
65042;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2012;0;0
65043;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2013;0;0
65044;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2014;0;0
65045;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2015;0;0
65046;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2016;0;0
65047;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2017;0;0
65048;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2018;14;0
65049;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2019;13;1
65050;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2020;28;15
65051;Mannen;Hoger beroepsonderwijs;0619 Informatica overig;2021;29;8
65052;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2010;29123;7418
65053;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2011;29273;7136
65054;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2012;29112;7266
65055;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2013;30039;7459
65056;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2014;30702;7385
65057;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2015;31092;7320
65058;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2016;31530;7392
65059;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2017;32119;7571
65060;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2018;32495;7586
65061;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2019;32846;7743
65062;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2020;33777;7732
65063;Mannen;Hoger beroepsonderwijs;07 Techniek, industrie en bouwkunde;2021;33538;7203
65064;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2010;0;0
65065;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2011;0;0
65066;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2012;0;0
65067;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2013;0;0
65068;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2014;0;0
65069;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2015;0;0
65070;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2016;0;0
65071;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2017;0;0
65072;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2018;0;0
65073;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2019;0;0
65074;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2020;0;0
65075;Mannen;Hoger beroepsonderwijs;070 Techniek, industrie, bouwk… z.n.d.;2021;0;0
65076;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2010;0;0
65077;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2011;0;0
65078;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2012;0;0
65079;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2013;0;0
65080;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2014;0;0
65081;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2015;0;0
65082;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2016;0;0
65083;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2017;0;0
65084;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2018;0;0
65085;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2019;0;0
65086;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2020;0;0
65087;Mannen;Hoger beroepsonderwijs;0700 Techniek, industrie, bouwk… z.n.d.;2021;0;0
65088;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2010;16546;4399
65089;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2011;16726;4331
65090;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2012;17089;4563
65091;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2013;18303;4920
65092;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2014;19311;4991
65093;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2015;19838;4965
65094;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2016;20440;4967
65095;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2017;20888;4970
65096;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2018;20875;4840
65097;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2019;20847;4978
65098;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2020;21066;4736
65099;Mannen;Hoger beroepsonderwijs;071 Techniek en technische dienstverl...;2021;20602;4394
65100;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2010;67;0
65101;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2011;84;22
65102;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2012;124;42
65103;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2013;320;105
65104;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2014;409;149
65105;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2015;1227;602
65106;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2016;1667;706
65107;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2017;2044;657
65108;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2018;2485;734
65109;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2019;2770;700
65110;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2020;2923;718
65111;Mannen;Hoger beroepsonderwijs;0710 Techniek en technische... z.n.d.;2021;2978;667
65112;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2010;2153;575
65113;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2011;2224;588
65114;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2012;2389;653
65115;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2013;2632;714
65116;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2014;2904;783
65117;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2015;2836;668
65118;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2016;2883;679
65119;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2017;2895;634
65120;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2018;2850;596
65121;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2019;2795;637
65122;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2020;2795;558
65123;Mannen;Hoger beroepsonderwijs;0711 Scheikundige technologie en proc…;2021;2644;455
65124;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2010;128;35
65125;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2011;169;63
65126;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2012;193;48
65127;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2013;191;41
65128;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2014;235;63
65129;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2015;173;0
65130;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2016;122;0
65131;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2017;87;1
65132;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2018;45;0
65133;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2019;7;0
65134;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2020;5;0
65135;Mannen;Hoger beroepsonderwijs;0712 Milieubescherming en milieutechn...;2021;1;0
65136;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2010;3868;991
65137;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2011;3700;952
65138;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2012;3453;912
65139;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2013;3442;865
65140;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2014;3457;887
65141;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2015;3437;835
65142;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2016;3467;816
65143;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2017;3490;814
65144;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2018;3408;764
65145;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2019;3473;846
65146;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2020;3388;706
65147;Mannen;Hoger beroepsonderwijs;0713 Elektro- en energietechniek;2021;3242;723
65148;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2010;353;106
65149;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2011;527;193
65150;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2012;1050;368
65151;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2013;1237;416
65152;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2014;1396;421
65153;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2015;1383;368
65154;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2016;1482;426
65155;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2017;1618;470
65156;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2018;1656;448
65157;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2019;1824;549
65158;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2020;1984;541
65159;Mannen;Hoger beroepsonderwijs;0714 Elektronica en industriële autom...;2021;2151;507
65160;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2010;6133;1658
65161;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2011;5997;1438
65162;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2012;5726;1461
65163;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2013;5928;1602
65164;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2014;6133;1567
65165;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2015;6276;1560
65166;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2016;6279;1403
65167;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2017;6261;1372
65168;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2018;6165;1358
65169;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2019;5947;1296
65170;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2020;5863;1251
65171;Mannen;Hoger beroepsonderwijs;0715 Werktuigbouwkunde,  metaalbewerking;2021;5587;1149
65172;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2010;1790;497
65173;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2011;1789;474
65174;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2012;1825;498
65175;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2013;2007;530
65176;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2014;2176;573
65177;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2015;2196;592
65178;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2016;2333;581
65179;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2017;2512;713
65180;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2018;2493;631
65181;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2019;2461;641
65182;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2020;2557;630
65183;Mannen;Hoger beroepsonderwijs;0716 Voertuigtechniek, scheepsbouw- ...;2021;2587;609
65184;Mannen;Hoger beroepsonderwijs;0719 Techniek en technische dienstver...;2010;2054;537
65185;Mannen;Hoger beroepsonderwijs;0719 Techniek en technische dienstver...;2011;2236;601
65186;Mannen;Hoger beroepsonderwijs;0719 Techniek en technische dienstver...;2012;2329;581
65187;Mannen;Hoger beroepsonderwijs;0719 Techniek en technische dienstver...;2013;2546;647
